City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-01,-15.669017169632738,178.92958016991503,0.92,18.22,17.15,54.123493148692276,0.92,27.64,133.36,0.0,0.02,0.0,28.746128270739206,Moderate
Ahmedabad,2015-01-02,27.920434430200814,297.01548046528217,0.97,15.69,16.46,25.241900696267884,0.97,24.55,34.06,3.68,5.5,3.77,156.95309183595745,Moderate
Ahmedabad,2015-01-03,166.7037686664068,201.62504289949675,17.4,19.3,29.7,38.21623280144129,17.4,29.07,30.7,6.8,16.4,2.25,33.57349955012927,Moderate
Ahmedabad,2015-01-04,27.95203885423684,207.88390913600773,1.7,18.48,17.97,7.566766115612662,1.7,18.59,36.08,4.43,10.14,1.0,150.87026048220483,Moderate
Ahmedabad,2015-01-05,89.88491807553713,46.15005050661536,22.1,21.42,37.76,24.84939938806759,22.1,39.33,39.31,7.01,18.89,2.78,127.48703659147856,Moderate
Ahmedabad,2015-01-06,41.93684574517775,63.895099470971886,45.41,38.48,81.5,35.58759149640704,45.41,45.76,46.51,5.42,10.83,1.93,92.36440319136766,Moderate
Ahmedabad,2015-01-07,161.6418790013919,212.2578578202683,112.16,40.62,130.77,36.69704045770986,112.16,32.28,33.47,0.0,0.0,0.0,165.56437840730652,Moderate
Ahmedabad,2015-01-08,76.80020832696644,173.5239042452449,80.87,36.74,96.75,-2.971597991225604,80.87,38.54,31.89,0.0,0.0,0.0,73.54508900990804,Moderate
Ahmedabad,2015-01-09,116.49859152595852,174.35562641513718,29.16,31.0,48.0,33.731437768150776,29.16,58.68,25.75,0.0,0.0,0.0,333.40711014178817,Moderate
Ahmedabad,2015-01-10,61.31115034983368,151.72967940829528,10.187800196304217,7.04,0.0,-55.24676543031058,-5.758441516518218,8.29,4.55,0.0,0.0,0.0,-19.42368516163276,Moderate
Ahmedabad,2015-01-11,97.7276170177974,91.12039514302847,132.07,55.8,24.53,33.40019933056364,132.07,25.03,6.79,0.0,0.0,0.0,90.39484272527521,Moderate
Ahmedabad,2015-01-12,-26.597867924871053,127.96889979547349,52.04,40.67,90.24,78.86399285082351,52.04,51.84,45.89,2.41,0.03,7.88,19.131253657171726,Moderate
Ahmedabad,2015-01-13,102.40933884245915,252.73584058284277,48.82,44.2,87.09,29.66658433690874,48.82,68.21,35.16,9.45,13.35,12.5,324.02317964404796,Moderate
Ahmedabad,2015-01-14,55.133763295477635,152.93701178991068,19.2,27.86,33.05,41.37357162138551,19.2,52.65,20.96,2.16,2.26,5.19,222.1627344150849,Moderate
Ahmedabad,2015-01-15,38.07687710658947,309.8310137053845,0.6,16.96,16.6,-6.847810299121736,0.6,28.89,47.63,0.14,0.04,1.35,299.08903776851656,Moderate
Ahmedabad,2015-01-16,-23.779294302370687,67.80585072888803,1.63,21.72,22.86,42.21221063470054,1.63,38.27,46.03,0.35,0.05,2.01,50.94039729032373,Moderate
